fy,abbr,state,County,County 2,"County, State",type,count,avgWage,MedianWageByCounty
FY 2021,AK,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,"Southeast Fairbanks, AK",Active Apprentices,0.0,27.50,27.50
FY 2021,AK,Alaska,Dillingham Census Area,Dillingham,"Dillingham, AK",Active Apprentices,0.0,22.65,22.65
FY 2021,AK,Alaska,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder,"Prince of Wales-Hyder, AK",Active Apprentices,0.0,18.00,18.00
FY 2021,AK,Alaska,North Slope Borough,North Slope,"North Slope, AK",Active Apprentices,0.0,27.44,27.44
FY 2021,AK,Alaska,Nome Census Area,Nome,"Nome, AK",Active Apprentices,0.0,22.00,22.00
FY 2021,AK,Alaska,Kusilvak Census Area,Kusilvak,"Kusilvak, AK",Active Apprentices,0.0,36.65,36.65
FY 2021,AK,Alaska,Hoonah-Angoon Census Area,Hoonah-Angoon,"Hoonah-Angoon, AK",Active Apprentices,0.0,20.00,20.00
FY 2021,AK,Alaska,Haines Borough,Haines,"Haines, AK",Active Apprentices,0.0,17.00,17.00
FY 2022,AK,Alaska,Anchorage Municipality,Anchorage,"Anchorage, AK",Active Apprentices,1381.0,21.48,20.83
FY 2022,AK,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,"Matanuska-Susitna, AK",Active Apprentices,254.0,21.52,22.50
FY 2022,AK,Alaska,Fairbanks North Star Borough,Fairbanks North Star,"Fairbanks North Star, AK",Active Apprentices,126.0,22.11,21.27
FY 2022,AK,Alaska,Juneau City and Borough,Juneau City and,"Juneau City and, AK",Active Apprentices,70.0,21.80,19.91
FY 2022,AK,Alaska,Kenai Peninsula Borough,Kenai Peninsula,"Kenai Peninsula, AK",Active Apprentices,49.0,18.78,18.00
FY 2022,AK,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,"Ketchikan Gateway, AK",Active Apprentices,14.0,21.38,20.00
FY 2022,AK,Alaska,Bethel Census Area,Bethel,"Bethel, AK",Active Apprentices,11.0,19.93,14.33
FY 2022,AK,Alaska,Kodiak Island Borough,Kodiak Island,"Kodiak Island, AK",Active Apprentices,0.0,28.57,25.00
FY 2022,AK,Alaska,Aleutians West Census Area,Aleutians West,"Aleutians West, AK",Active Apprentices,0.0,26.19,29.64
FY 2022,AK,Alaska,Sitka City and Borough,Sitka City and,"Sitka City and, AK",Active Apprentices,0.0,25.73,25.00
FY 2022,AK,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,"Valdez-Cordova, AK",Active Apprentices,0.0,22.90,20.00
FY 2022,AK,Alaska,Skagway Municipality,Skagway,"Skagway, AK",Active Apprentices,0.0,19.30,19.00
FY 2022,AK,Alaska,Petersburg Borough,Petersburg,"Petersburg, AK",Active Apprentices,0.0,15.00,15.00
FY 2022,AK,Alaska,Wrangell City and Borough,Wrangell City and,"Wrangell City and, AK",Active Apprentices,0.0,19.25,19.25
FY 2022,AK,Alaska,Dillingham Census Area,Dillingham,"Dillingham, AK",Active Apprentices,0.0,25.20,25.20
FY 2022,AK,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,"Southeast Fairbanks, AK",Active Apprentices,0.0,35.00,35.00
FY 2022,AK,Alaska,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder,"Prince of Wales-Hyder, AK",Active Apprentices,0.0,18.00,18.00
FY 2022,AK,Alaska,North Slope Borough,North Slope,"North Slope, AK",Active Apprentices,0.0,27.44,27.44
FY 2022,AK,Alaska,Nome Census Area,Nome,"Nome, AK",Active Apprentices,0.0,22.00,22.00
FY 2022,AK,Alaska,Kusilvak Census Area,Kusilvak,"Kusilvak, AK",Active Apprentices,0.0,36.65,36.65
FY 2022,AK,Alaska,Haines Borough,Haines,"Haines, AK",Active Apprentices,0.0,17.00,17.00
FY 2023,AK,Alaska,Anchorage Municipality,Anchorage,"Anchorage, AK",Active Apprentices,1404.0,22.00,21.00
FY 2023,AK,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,"Matanuska-Susitna, AK",Active Apprentices,287.0,22.37,24.32
FY 2023,AK,Alaska,Fairbanks North Star Borough,Fairbanks North Star,"Fairbanks North Star, AK",Active Apprentices,116.0,22.67,22.15
FY 2023,AK,Alaska,Juneau City and Borough,Juneau City and,"Juneau City and, AK",Active Apprentices,79.0,22.98,20.66
FY 2023,AK,Alaska,Kenai Peninsula Borough,Kenai Peninsula,"Kenai Peninsula, AK",Active Apprentices,50.0,23.88,21.00
FY 2023,AK,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,"Ketchikan Gateway, AK",Active Apprentices,16.0,23.41,22.50
FY 2023,AK,Alaska,Aleutians West Census Area,Aleutians West,"Aleutians West, AK",Active Apprentices,0.0,25.69,29.64
FY 2023,AK,Alaska,Kodiak Island Borough,Kodiak Island,"Kodiak Island, AK",Active Apprentices,0.0,29.00,25.00
FY 2023,AK,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,"Valdez-Cordova, AK",Active Apprentices,0.0,23.42,23.00
FY 2023,AK,Alaska,Sitka City and Borough,Sitka City and,"Sitka City and, AK",Active Apprentices,0.0,25.00,25.00
FY 2023,AK,Alaska,Bethel Census Area,Bethel,"Bethel, AK",Active Apprentices,0.0,22.53,20.56
FY 2023,AK,Alaska,Skagway Municipality,Skagway,"Skagway, AK",Active Apprentices,0.0,21.21,21.21
FY 2023,AK,Alaska,Wrangell City and Borough,Wrangell City and,"Wrangell City and, AK",Active Apprentices,0.0,31.00,31.00
FY 2023,AK,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,"Southeast Fairbanks, AK",Active Apprentices,0.0,20.00,20.00
FY 2023,AK,Alaska,Petersburg Borough,Petersburg,"Petersburg, AK",Active Apprentices,0.0,21.00,21.00
FY 2023,AK,Alaska,Northwest Arctic Borough,Northwest Arctic,"Northwest Arctic, AK",Active Apprentices,0.0,20.00,20.00
FY 2023,AK,Alaska,Haines Borough,Haines,"Haines, AK",Active Apprentices,0.0,17.00,17.00
FY 2023,AK,Alaska,Dillingham Census Area,Dillingham,"Dillingham, AK",Active Apprentices,0.0,25.66,25.66
FY 2024,AK,Alaska,Anchorage Municipality,Anchorage,"Anchorage, AK",Active Apprentices,1563.0,23.04,22.22
FY 2024,AK,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,"Matanuska-Susitna, AK",Active Apprentices,323.0,22.85,24.32
FY 2024,AK,Alaska,Fairbanks North Star Borough,Fairbanks North Star,"Fairbanks North Star, AK",Active Apprentices,119.0,24.42,24.52
FY 2024,AK,Alaska,Juneau City and Borough,Juneau City and,"Juneau City and, AK",Active Apprentices,65.0,24.07,21.69
FY 2024,AK,Alaska,Kenai Peninsula Borough,Kenai Peninsula,"Kenai Peninsula, AK",Active Apprentices,58.0,24.67,24.00
FY 2024,AK,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,"Ketchikan Gateway, AK",Active Apprentices,22.0,27.44,29.66
FY 2024,AK,Alaska,Aleutians West Census Area,Aleutians West,"Aleutians West, AK",Active Apprentices,0.0,30.00,29.64
FY 2024,AK,Alaska,Kodiak Island Borough,Kodiak Island,"Kodiak Island, AK",Active Apprentices,0.0,31.20,30.00
FY 2024,AK,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,"Valdez-Cordova, AK",Active Apprentices,0.0,24.67,25.00
FY 2024,AK,Alaska,Sitka City and Borough,Sitka City and,"Sitka City and, AK",Active Apprentices,0.0,25.00,25.00
FY 2024,AK,Alaska,Wrangell City and Borough,Wrangell City and,"Wrangell City and, AK",Active Apprentices,0.0,31.00,31.00
FY 2024,AK,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,"Southeast Fairbanks, AK",Active Apprentices,0.0,20.00,20.00
FY 2024,AK,Alaska,Skagway Municipality,Skagway,"Skagway, AK",Active Apprentices,0.0,22.50,22.50
FY 2024,AK,Alaska,Petersburg Borough,Petersburg,"Petersburg, AK",Active Apprentices,0.0,21.00,21.00
FY 2024,AK,Alaska,Northwest Arctic Borough,Northwest Arctic,"Northwest Arctic, AK",Active Apprentices,0.0,20.00,20.00
FY 2024,AK,Alaska,Haines Borough,Haines,"Haines, AK",Active Apprentices,0.0,17.00,17.00
FY 2024,AK,Alaska,Dillingham Census Area,Dillingham,"Dillingham, AK",Active Apprentices,0.0,25.66,25.66
FY 2025,AK,Alaska,Anchorage Municipality,Anchorage,"Anchorage, AK",Active Apprentices,1749.0,24.86,24.48
FY 2025,AK,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,"Matanuska-Susitna, AK",Active Apprentices,326.0,24.14,24.32
FY 2025,AK,Alaska,Fairbanks North Star Borough,Fairbanks North Star,"Fairbanks North Star, AK",Active Apprentices,136.0,26.31,26.36
FY 2025,AK,Alaska,Juneau City and Borough,Juneau City and,"Juneau City and, AK",Active Apprentices,111.0,24.79,23.00
FY 2025,AK,Alaska,Kenai Peninsula Borough,Kenai Peninsula,"Kenai Peninsula, AK",Active Apprentices,62.0,25.95,25.00
FY 2025,AK,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,"Ketchikan Gateway, AK",Active Apprentices,17.0,29.08,30.09
FY 2025,AK,Alaska,Aleutians West Census Area,Aleutians West,"Aleutians West, AK",Active Apprentices,0.0,32.27,30.40
FY 2025,AK,Alaska,Sitka City and Borough,Sitka City and,"Sitka City and, AK",Active Apprentices,0.0,23.75,25.00
FY 2025,AK,Alaska,Nome Census Area,Nome,"Nome, AK",Active Apprentices,0.0,23.89,23.69
FY 2025,AK,Alaska,Kusilvak Census Area,Kusilvak,"Kusilvak, AK",Active Apprentices,0.0,85.00,85.00
FY 2025,AK,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,"Valdez-Cordova, AK",Active Apprentices,0.0,24.50,24.50
FY 2025,AK,Alaska,Kodiak Island Borough,Kodiak Island,"Kodiak Island, AK",Active Apprentices,0.0,28.00,28.00
FY 2025,AK,Alaska,Bethel Census Area,Bethel,"Bethel, AK",Active Apprentices,0.0,24.74,24.74
FY 2025,AK,Alaska,Wrangell City and Borough,Wrangell City and,"Wrangell City and, AK",Active Apprentices,0.0,31.00,31.00
FY 2025,AK,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,"Southeast Fairbanks, AK",Active Apprentices,0.0,20.00,20.00
FY 2025,AK,Alaska,Skagway Municipality,Skagway,"Skagway, AK",Active Apprentices,0.0,32.00,32.00
FY 2025,AK,Alaska,Petersburg Borough,Petersburg,"Petersburg, AK",Active Apprentices,0.0,21.00,21.00
FY 2025,AK,Alaska,Northwest Arctic Borough,Northwest Arctic,"Northwest Arctic, AK",Active Apprentices,0.0,20.00,20.00
FY 2025,AK,Alaska,North Slope Borough,North Slope,"North Slope, AK",Active Apprentices,0.0,34.09,34.09
FY 2025,AK,Alaska,Haines Borough,Haines,"Haines, AK",Active Apprentices,0.0,17.00,17.00
FY 2025,AK,Alaska,Dillingham Census Area,Dillingham,"Dillingham, AK",Active Apprentices,0.0,25.66,25.66
FY 2026,AK,Alaska,Anchorage Municipality,Anchorage,"Anchorage, AK",Active Apprentices,1755.0,25.16,25.00
FY 2026,AK,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,"Matanuska-Susitna, AK",Active Apprentices,314.0,24.38,25.56
FY 2026,AK,Alaska,Fairbanks North Star Borough,Fairbanks North Star,"Fairbanks North Star, AK",Active Apprentices,156.0,27.20,28.16
FY 2026,AK,Alaska,Juneau City and Borough,Juneau City and,"Juneau City and, AK",Active Apprentices,143.0,25.66,24.34
FY 2026,AK,Alaska,Kenai Peninsula Borough,Kenai Peninsula,"Kenai Peninsula, AK",Active Apprentices,51.0,25.78,25.00
FY 2026,AK,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,"Ketchikan Gateway, AK",Active Apprentices,17.0,26.76,29.66
FY 2026,AK,Alaska,Aleutians West Census Area,Aleutians West,"Aleutians West, AK",Active Apprentices,0.0,32.27,30.40
FY 2026,AK,Alaska,Sitka City and Borough,Sitka City and,"Sitka City and, AK",Active Apprentices,0.0,23.75,25.00
FY 2026,AK,Alaska,Nome Census Area,Nome,"Nome, AK",Active Apprentices,0.0,23.89,23.69
FY 2026,AK,Alaska,Kusilvak Census Area,Kusilvak,"Kusilvak, AK",Active Apprentices,0.0,85.00,85.00
FY 2026,AK,Alaska,Kodiak Island Borough,Kodiak Island,"Kodiak Island, AK",Active Apprentices,0.0,25.33,20.00
FY 2026,AK,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,"Valdez-Cordova, AK",Active Apprentices,0.0,24.50,24.50
FY 2026,AK,Alaska,Bethel Census Area,Bethel,"Bethel, AK",Active Apprentices,0.0,25.28,25.28
FY 2026,AK,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,"Southeast Fairbanks, AK",Active Apprentices,0.0,20.00,20.00
FY 2026,AK,Alaska,Skagway Municipality,Skagway,"Skagway, AK",Active Apprentices,0.0,32.00,32.00
FY 2026,AK,Alaska,Petersburg Borough,Petersburg,"Petersburg, AK",Active Apprentices,0.0,21.00,21.00
FY 2026,AK,Alaska,Northwest Arctic Borough,Northwest Arctic,"Northwest Arctic, AK",Active Apprentices,0.0,20.00,20.00
FY 2026,AK,Alaska,North Slope Borough,North Slope,"North Slope, AK",Active Apprentices,0.0,34.09,34.09
FY 2026,AK,Alaska,Dillingham Census Area,Dillingham,"Dillingham, AK",Active Apprentices,0.0,25.66,25.66
FY 2020,AZ,Arizona,Maricopa County,Maricopa,"Maricopa, AZ",Active Apprentices,3626.0,16.30,16.25
FY 2020,AZ,Arizona,Coconino County,Coconino,"Coconino, AZ",Active Apprentices,838.0,21.77,24.07
FY 2020,AZ,Arizona,Pima County,Pima,"Pima, AZ",Active Apprentices,375.0,15.84,13.48
FY 2020,AZ,Arizona,Pinal County,Pinal,"Pinal, AZ",Active Apprentices,84.0,20.85,21.22
FY 2020,AZ,Arizona,Mohave County,Mohave,"Mohave, AZ",Active Apprentices,44.0,15.92,13.75
FY 2020,AZ,Arizona,Apache County,Apache,"Apache, AZ",Active Apprentices,39.0,15.31,16.51
FY 2020,AZ,Arizona,Gila County,Gila,"Gila, AZ",Active Apprentices,19.0,19.17,19.75
FY 2020,AZ,Arizona,Cochise County,Cochise,"Cochise, AZ",Active Apprentices,18.0,20.98,21.89
FY 2020,AZ,Arizona,Yavapai County,Yavapai,"Yavapai, AZ",Active Apprentices,17.0,14.47,15.35
FY 2020,AZ,Arizona,Graham County,Graham,"Graham, AZ",Active Apprentices,0.0,,0.12
FY 2020,AZ,Arizona,Navajo County,Navajo,"Navajo, AZ",Active Apprentices,0.0,27.00,31.95
FY 2020,AZ,Arizona,Yuma County,Yuma,"Yuma, AZ",Active Apprentices,0.0,11.38,11.00
FY 2020,AZ,Arizona,Santa Cruz County,Santa Cruz,"Santa Cruz, AZ",Active Apprentices,0.0,29.62,29.62
FY 2021,AZ,Arizona,Maricopa County,Maricopa,"Maricopa, AZ",Active Apprentices,3526.0,16.77,16.34
FY 2021,AZ,Arizona,Coconino County,Coconino,"Coconino, AZ",Active Apprentices,825.0,21.67,24.06
FY 2021,AZ,Arizona,Pima County,Pima,"Pima, AZ",Active Apprentices,420.0,16.41,14.10
FY 2021,AZ,Arizona,Pinal County,Pinal,"Pinal, AZ",Active Apprentices,75.0,20.56,21.22
FY 2021,AZ,Arizona,Apache County,Apache,"Apache, AZ",Active Apprentices,38.0,15.14,16.68
FY 2021,AZ,Arizona,Mohave County,Mohave,"Mohave, AZ",Active Apprentices,37.0,16.08,12.85
FY 2021,AZ,Arizona,Cochise County,Cochise,"Cochise, AZ",Active Apprentices,21.0,20.32,21.64
FY 2021,AZ,Arizona,Yavapai County,Yavapai,"Yavapai, AZ",Active Apprentices,17.0,15.06,16.00
FY 2021,AZ,Arizona,Gila County,Gila,"Gila, AZ",Active Apprentices,14.0,18.86,19.75
FY 2021,AZ,Arizona,Graham County,Graham,"Graham, AZ",Active Apprentices,11.0,32.31,0.17
FY 2021,AZ,Arizona,Yuma County,Yuma,"Yuma, AZ",Active Apprentices,0.0,13.38,14.10
FY 2021,AZ,Arizona,Navajo County,Navajo,"Navajo, AZ",Active Apprentices,0.0,27.00,31.95
FY 2021,AZ,Arizona,Santa Cruz County,Santa Cruz,"Santa Cruz, AZ",Active Apprentices,0.0,29.62,29.62
FY 2022,AZ,Arizona,Maricopa County,Maricopa,"Maricopa, AZ",Active Apprentices,4083.0,17.55,17.15
FY 2022,AZ,Arizona,Coconino County,Coconino,"Coconino, AZ",Active Apprentices,745.0,21.95,24.58
FY 2022,AZ,Arizona,Pima County,Pima,"Pima, AZ",Active Apprentices,456.0,17.75,14.97
FY 2022,AZ,Arizona,Pinal County,Pinal,"Pinal, AZ",Active Apprentices,95.0,21.63,22.30
FY 2022,AZ,Arizona,Mohave County,Mohave,"Mohave, AZ",Active Apprentices,42.0,16.85,13.00
FY 2022,AZ,Arizona,Apache County,Apache,"Apache, AZ",Active Apprentices,28.0,16.23,16.68
FY 2022,AZ,Arizona,Cochise County,Cochise,"Cochise, AZ",Active Apprentices,25.0,20.58,21.64
FY 2022,AZ,Arizona,Yavapai County,Yavapai,"Yavapai, AZ",Active Apprentices,18.0,16.56,16.28
FY 2022,AZ,Arizona,Gila County,Gila,"Gila, AZ",Active Apprentices,14.0,18.91,19.75
FY 2022,AZ,Arizona,Yuma County,Yuma,"Yuma, AZ",Active Apprentices,11.0,13.90,14.10
FY 2022,AZ,Arizona,Graham County,Graham,"Graham, AZ",Active Apprentices,11.0,32.78,0.12
FY 2022,AZ,Arizona,Navajo County,Navajo,"Navajo, AZ",Active Apprentices,0.0,26.06,31.95
FY 2022,AZ,Arizona,Santa Cruz County,Santa Cruz,"Santa Cruz, AZ",Active Apprentices,0.0,29.62,29.62
FY 2023,AZ,Arizona,Maricopa County,Maricopa,"Maricopa, AZ",Active Apprentices,5395.0,18.39,17.90
FY 2023,AZ,Arizona,Coconino County,Coconino,"Coconino, AZ",Active Apprentices,713.0,22.47,25.21
FY 2023,AZ,Arizona,Pima County,Pima,"Pima, AZ",Active Apprentices,464.0,17.64,15.00
FY 2023,AZ,Arizona,Pinal County,Pinal,"Pinal, AZ",Active Apprentices,150.0,20.66,22.30
FY 2023,AZ,Arizona,Mohave County,Mohave,"Mohave, AZ",Active Apprentices,38.0,18.17,13.85
FY 2023,AZ,Arizona,Apache County,Apache,"Apache, AZ",Active Apprentices,36.0,16.31,16.68
FY 2023,AZ,Arizona,Cochise County,Cochise,"Cochise, AZ",Active Apprentices,23.0,24.12,28.17
FY 2023,AZ,Arizona,Yavapai County,Yavapai,"Yavapai, AZ",Active Apprentices,19.0,16.19,16.00
FY 2023,AZ,Arizona,Yuma County,Yuma,"Yuma, AZ",Active Apprentices,13.0,13.91,14.10
FY 2023,AZ,Arizona,Gila County,Gila,"Gila, AZ",Active Apprentices,13.0,19.38,19.75
FY 2023,AZ,Arizona,Navajo County,Navajo,"Navajo, AZ",Active Apprentices,0.0,23.59,26.67
FY 2023,AZ,Arizona,Graham County,Graham,"Graham, AZ",Active Apprentices,0.0,32.78,16.62
FY 2023,AZ,Arizona,Santa Cruz County,Santa Cruz,"Santa Cruz, AZ",Active Apprentices,0.0,38.00,38.00
FY 2024,AZ,Arizona,Maricopa County,Maricopa,"Maricopa, AZ",Active Apprentices,6442.0,19.42,18.76
FY 2024,AZ,Arizona,Coconino County,Coconino,"Coconino, AZ",Active Apprentices,751.0,23.20,25.54
FY 2024,AZ,Arizona,Pima County,Pima,"Pima, AZ",Active Apprentices,570.0,18.73,15.00
FY 2024,AZ,Arizona,Pinal County,Pinal,"Pinal, AZ",Active Apprentices,170.0,20.26,22.30
FY 2024,AZ,Arizona,Apache County,Apache,"Apache, AZ",Active Apprentices,46.0,17.21,16.68
FY 2024,AZ,Arizona,Mohave County,Mohave,"Mohave, AZ",Active Apprentices,41.0,17.60,14.35
FY 2024,AZ,Arizona,Cochise County,Cochise,"Cochise, AZ",Active Apprentices,33.0,22.56,24.75
FY 2024,AZ,Arizona,Yuma County,Yuma,"Yuma, AZ",Active Apprentices,21.0,14.80,14.50
FY 2024,AZ,Arizona,Yavapai County,Yavapai,"Yavapai, AZ",Active Apprentices,14.0,19.23,19.15
FY 2024,AZ,Arizona,Navajo County,Navajo,"Navajo, AZ",Active Apprentices,10.0,25.52,26.67
FY 2024,AZ,Arizona,Graham County,Graham,"Graham, AZ",Active Apprentices,0.0,32.78,0.12
FY 2024,AZ,Arizona,Santa Cruz County,Santa Cruz,"Santa Cruz, AZ",Active Apprentices,0.0,36.11,38.00
FY 2024,AZ,Arizona,Gila County,Gila,"Gila, AZ",Active Apprentices,0.0,20.25,20.25
FY 2025,AZ,Arizona,Maricopa County,Maricopa,"Maricopa, AZ",Active Apprentices,7276.0,19.84,19.19
FY 2025,AZ,Arizona,Coconino County,Coconino,"Coconino, AZ",Active Apprentices,684.0,23.84,26.89
FY 2025,AZ,Arizona,Pima County,Pima,"Pima, AZ",Active Apprentices,606.0,18.64,17.05
FY 2025,AZ,Arizona,Pinal County,Pinal,"Pinal, AZ",Active Apprentices,180.0,20.69,23.39
FY 2025,AZ,Arizona,Apache County,Apache,"Apache, AZ",Active Apprentices,49.0,17.98,16.68
FY 2025,AZ,Arizona,Mohave County,Mohave,"Mohave, AZ",Active Apprentices,47.0,19.34,14.70
FY 2025,AZ,Arizona,Cochise County,Cochise,"Cochise, AZ",Active Apprentices,33.0,24.91,28.95
FY 2025,AZ,Arizona,Yuma County,Yuma,"Yuma, AZ",Active Apprentices,31.0,16.41,16.00
FY 2025,AZ,Arizona,Yavapai County,Yavapai,"Yavapai, AZ",Active Apprentices,19.0,19.27,19.15
FY 2025,AZ,Arizona,Graham County,Graham,"Graham, AZ",Active Apprentices,10.0,32.78,0.17
FY 2025,AZ,Arizona,Navajo County,Navajo,"Navajo, AZ",Active Apprentices,0.0,24.97,26.67
FY 2025,AZ,Arizona,Santa Cruz County,Santa Cruz,"Santa Cruz, AZ",Active Apprentices,0.0,38.72,38.67
FY 2025,AZ,Arizona,Gila County,Gila,"Gila, AZ",Active Apprentices,0.0,33.08,33.08
FY 2026,AZ,Arizona,Maricopa County,Maricopa,"Maricopa, AZ",Active Apprentices,7859.0,20.11,19.61
FY 2026,AZ,Arizona,Coconino County,Coconino,"Coconino, AZ",Active Apprentices,766.0,25.54,27.31
FY 2026,AZ,Arizona,Pima County,Pima,"Pima, AZ",Active Apprentices,581.0,19.03,17.05
FY 2026,AZ,Arizona,Pinal County,Pinal,"Pinal, AZ",Active Apprentices,160.0,21.69,24.47
FY 2026,AZ,Arizona,Yuma County,Yuma,"Yuma, AZ",Active Apprentices,113.0,19.72,20.00
FY 2026,AZ,Arizona,Mohave County,Mohave,"Mohave, AZ",Active Apprentices,56.0,18.93,14.70
FY 2026,AZ,Arizona,Apache County,Apache,"Apache, AZ",Active Apprentices,48.0,18.29,19.21
FY 2026,AZ,Arizona,Cochise County,Cochise,"Cochise, AZ",Active Apprentices,33.0,23.72,28.95
FY 2026,AZ,Arizona,Yavapai County,Yavapai,"Yavapai, AZ",Active Apprentices,17.0,21.00,21.00
FY 2026,AZ,Arizona,Graham County,Graham,"Graham, AZ",Active Apprentices,11.0,37.74,0.29
FY 2026,AZ,Arizona,Navajo County,Navajo,"Navajo, AZ",Active Apprentices,0.0,26.69,26.28
FY 2026,AZ,Arizona,Santa Cruz County,Santa Cruz,"Santa Cruz, AZ",Active Apprentices,0.0,38.72,38.67
FY 2026,AZ,Arizona,Gila County,Gila,"Gila, AZ",Active Apprentices,0.0,33.08,33.08
FY 2020,AR,Arkansas,Clark County,Clark,"Clark, AR",Active Apprentices,1300.0,11.42,12.00
FY 2020,AR,Arkansas,Pulaski County,Pulaski,"Pulaski, AR",Active Apprentices,1236.0,16.45,15.12
FY 2020,AR,Arkansas,Benton County,Benton,"Benton, AR",Active Apprentices,988.0,11.15,10.00
FY 2020,AR,Arkansas,Washington County,Washington,"Washington, AR",Active Apprentices,522.0,14.48,13.00
FY 2020,AR,Arkansas,Faulkner County,Faulkner,"Faulkner, AR",Active Apprentices,346.0,12.05,11.70
FY 2020,AR,Arkansas,Pope County,Pope,"Pope, AR",Active Apprentices,254.0,15.83,15.69
FY 2020,AR,Arkansas,Craighead County,Craighead,"Craighead, AR",Active Apprentices,233.0,11.02,11.27
FY 2020,AR,Arkansas,Garland County,Garland,"Garland, AR",Active Apprentices,113.0,12.99,12.50
FY 2020,AR,Arkansas,Sebastian County,Sebastian,"Sebastian, AR",Active Apprentices,111.0,11.45,10.50
FY 2020,AR,Arkansas,Union County,Union,"Union, AR",Active Apprentices,86.0,12.36,12.00
FY 2020,AR,Arkansas,Hot Spring County,Hot Spring,"Hot Spring, AR",Active Apprentices,82.0,12.98,12.50
FY 2020,AR,Arkansas,Lincoln County,Lincoln,"Lincoln, AR",Active Apprentices,76.0,,0.40
FY 2020,AR,Arkansas,Greene County,Greene,"Greene, AR",Active Apprentices,55.0,15.21,14.00
FY 2020,AR,Arkansas,Cleburne County,Cleburne,"Cleburne, AR",Active Apprentices,53.0,11.15,10.00
FY 2020,AR,Arkansas,Jefferson County,Jefferson,"Jefferson, AR",Active Apprentices,48.0,10.49,10.00
FY 2020,AR,Arkansas,Independence County,Independence,"Independence, AR",Active Apprentices,47.0,16.07,15.94
FY 2020,AR,Arkansas,Desha County,Desha,"Desha, AR",Active Apprentices,30.0,10.61,10.00
FY 2020,AR,Arkansas,Ashley County,Ashley,"Ashley, AR",Active Apprentices,28.0,13.16,12.00
FY 2020,AR,Arkansas,St. Francis County,St. Francis,"St. Francis, AR",Active Apprentices,19.0,,3.00
