fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2024,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,25928,19.52,19.59
FY 2025,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,29251,20.40,20.14
FY 2026,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,26000,20.81,20.63
FY 2020,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,1755,17.92,17.36
FY 2021,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,1696,18.37,18.23
FY 2022,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,1563,18.54,17.45
FY 2023,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,1873,19.97,18.25
FY 2024,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,2226,20.24,18.11
FY 2025,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,2341,20.37,18.23
FY 2026,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,2413,20.52,18.62
FY 2020,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,10381,25.64,23.91
