fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2021,TX,Texas,* State Total,* State Total,"* State Total, TX",State,New Apprentices,10426,16.92,15.23
FY 2022,TX,Texas,* State Total,* State Total,"* State Total, TX",State,New Apprentices,12978,18.22,16.38
FY 2023,TX,Texas,* State Total,* State Total,"* State Total, TX",State,New Apprentices,17965,19.90,17.00
FY 2024,TX,Texas,* State Total,* State Total,"* State Total, TX",State,New Apprentices,19432,19.74,18.00
FY 2025,TX,Texas,* State Total,* State Total,"* State Total, TX",State,New Apprentices,24016,19.78,18.40
FY 2026,TX,Texas,* State Total,* State Total,"* State Total, TX",State,New Apprentices,9706,21.25,20.25
FY 2020,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,1645,17.67,17.95
FY 2021,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,1932,19.66,19.56
FY 2022,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,1851,21.07,18.00
FY 2023,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,2275,20.88,20.00
FY 2024,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,2376,23.25,20.00
FY 2025,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,2245,25.45,22.05
FY 2026,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,920,23.66,24.00
FY 2020,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,438,16.76,15.08
FY 2021,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,503,17.81,16.25
FY 2022,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,579,18.90,18.25
FY 2023,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,777,18.87,18.50
FY 2024,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,789,20.04,22.25
FY 2025,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,680,21.06,20.26
FY 2026,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,303,21.45,21.75
FY 2020,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,3823,14.03,10.49
FY 2021,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,4426,14.53,12.07
FY 2022,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,5242,15.78,13.75
FY 2023,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,5476,16.82,14.38
FY 2024,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,6237,16.50,15.91
FY 2025,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,5852,17.57,16.00
FY 2026,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,1875,18.58,17.00
FY 2020,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,4877,22.65,23.77
FY 2021,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,8000,23.26,25.04
FY 2022,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,8524,24.66,23.88
FY 2023,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,8331,23.53,24.45
FY 2024,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,9347,24.67,25.55
FY 2025,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,7533,26.39,27.76
FY 2026,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,2326,25.76,26.46
FY 2020,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,1290,15.30,14.37
FY 2021,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,1981,16.52,14.88
FY 2022,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,114261,18.22,15.90
FY 2023,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,116021,18.28,17.66
FY 2024,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,119595,17.75,18.22
FY 2025,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,116236,18.55,15.79
FY 2026,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,114261,19.24,17.84
FY 2020,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,10603,17.27,18.10
FY 2021,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,10715,16.51,19.77
FY 2022,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,11458,18.82,20.24
FY 2023,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,12356,21.38,22.69
FY 2024,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,13090,22.22,21.00
FY 2025,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,13836,23.67,22.70
FY 2026,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,13624,22.49,25.00
FY 2020,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,443,17.89,20.66
FY 2021,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,397,17.29,17.55
FY 2022,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,390,20.15,18.61
FY 2023,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,416,21.68,20.00
FY 2024,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,498,24.05,22.02
FY 2025,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,604,26.75,23.25
FY 2026,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,644,24.44,21.62
FY 2020,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,185,10.42,7.62
FY 2021,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,413,10.57,9.00
FY 2022,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,775,17.56,10.37
FY 2023,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,998,13.96,10.00
FY 2024,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,1117,14.54,10.50
FY 2025,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,1913,15.88,12.25
FY 2026,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,2403,15.55,11.25
FY 2020,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,527,14.13,13.63
FY 2021,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,562,13.29,13.02
FY 2022,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,580,12.37,12.00
FY 2023,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,631,13.02,12.13
FY 2024,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,722,14.25,14.00
FY 2025,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,856,14.98,14.85
FY 2026,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,891,14.91,15.00
